,continent,country,total_population,new_cases,active_cases,critical_cases,recovered_cases,total_cases,cases_per_1M_pop,new_deaths,total_deaths,total_tests,tests_per_1M_pop,stats_date
0,Africa,Saint-Helena,6115.0,,2164.0,,2.0,2166,354211,,,,,2024-11-06T17:00:22+00:00
1,South-America,Falkland-Islands,3539.0,,0.0,,1930.0,1930,545352,,,8632.0,2439107,2024-11-06T17:00:22+00:00
2,North-America,Montserrat,4965.0,,19.0,,1376.0,1403,282578,,8.0,17762.0,3577442,2024-11-06T17:00:22+00:00
3,,Diamond-Princess,,,0.0,,699.0,712,,,13.0,,,2024-11-06T17:00:22+00:00
4,Europe,Vatican-City,799.0,,0.0,,29.0,29,36295,,,,,2024-11-06T17:00:22+00:00
5,Africa,Western-Sahara,626161.0,,0.0,,9.0,10,16,,1.0,,,2024-11-06T17:00:22+00:00
6,,MS-Zaandam,,,0.0,,7.0,9,,,2.0,,,2024-11-06T17:00:22+00:00
7,Asia,China,1448471400.0,,118977.0,,379053.0,503302,347,,5272.0,160000000.0,110461,2024-11-06T17:00:22+00:00
8,Oceania,Wallis-and-Futuna,10982.0,,3104.0,,438.0,3550,323256,,8.0,20508.0,1867419,2024-11-06T17:00:22+00:00
9,Oceania,Tokelau,1378.0,,80.0,,,80,58055,,,,,2024-11-06T17:00:22+00:00
10,North-America,Saint-Pierre-Miquelon,5759.0,,1001.0,,2449.0,3452,599410,,2.0,25400.0,4410488,2024-11-06T17:00:22+00:00
11,Oceania,Tuvalu,12066.0,,,,,2943,243909,,1.0,,,2024-11-06T17:00:22+00:00
12,Oceania,Niue,1622.0,,3.0,,1056.0,1059,652898,,,,,2024-11-06T17:00:22+00:00
13,Oceania,Nauru,10903.0,,45.0,,5347.0,5393,494635,,1.0,20509.0,1881042,2024-11-06T17:00:21+00:00
14,Africa,Chad,17413580.0,,2633.0,,4874.0,7701,442,,194.0,191341.0,10988,2024-11-06T17:00:21+00:00
